Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Morgan Stanley,Ravi Gym Park,,RR Nagar Zone,,,MS86,12.9731,77.51248
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS60,12.97062,77.50958
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS51,12.97029,77.50943
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS52,12.97044,77.50953
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS53,12.97001,77.50926
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS54,12.96984,77.50926
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS55,12.97023,77.50927
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS56,12.96997,77.50934
Morgan Stanley,Vinayaka nursery park,,RR Nagar Zone,,,MS57,12.96992,77.50926
Morgan Stanley,Mahatma Gandhi park bda park,,RR Nagar Zone,,,MS43,12.9684,77.51453
Morgan Stanley,Mahatma Gandhi park bda park,,RR Nagar Zone,,,MS42,12.96841,77.5146
Morgan Stanley,Mahatma Gandhi park bda park,,RR Nagar Zone,,,MS44,12.96858,77.51462
Morgan Stanley,Mahatma Gandhi park bda park,,RR Nagar Zone,,,MS45,12.96883,77.51463
Morgan Stanley,Mahatma Gandhi park bda park,,RR Nagar Zone,,,MS41,12.96871,77.51458
Morgan Stanley,Holedande Gandhi Udyanavana,,RR Nagar Zone,,,MS38,12.96735,77.51772
Morgan Stanley,Holedande Gandhi Udyanavana,,RR Nagar Zone,,,MS39,12.96754,77.51774
Morgan Stanley,Holedande Gandhi Udyanavana,,RR Nagar Zone,,,MS40,12.96776,77.51773
Morgan Stanley,Holedande Gandhi Udyanavana,,RR Nagar Zone,,,MS37,12.96789,77.51774
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS30,12.96615,77.51669
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS31,12.96588,77.51669
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS32,12.96574,77.51668
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS33,12.96635,77.51666
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS34,12.96651,77.51667
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS35,12.96658,77.51652
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS36,12.96665,77.51657
Morgan Stanley,Bande maramma park,,RR Nagar Zone,,,MS37,12.96669,77.51666
Morgan Stanley,Maruthi mandir park,,RR Nagar Zone,,,MS118,12.96195,77.514
Morgan Stanley,Maruthi mandir park,,RR Nagar Zone,,,MS119,12.96214,77.514
Morgan Stanley,Maruthi mandir park,,RR Nagar Zone,,,MS116,12.96181,77.51384
Morgan Stanley,Maruthi mandir park,,RR Nagar Zone,,,MS117,12.96185,77.51385
Morgan Stanley,Dara bendre park,,RR Nagar Zone,,,MS67,12.96604,77.5087
Morgan Stanley,Dara bendre park,,RR Nagar Zone,,,MS68,12.96571,77.50874
Morgan Stanley,Dara bendre park,,RR Nagar Zone,,,MS69,12.96542,77.50856
Morgan Stanley,Dara bendre park,,RR Nagar Zone,,,MS70,12.9655,77.50853
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS75,12.96353,77.51004
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS76,12.96361,77.50992
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS77,12.96384,77.50956
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS78,12.96391,77.50936
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS79,12.96391,77.50938
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS80,12.96396,77.50941
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS81,12.96407,77.5093
Morgan Stanley,Hoysala park,,RR Nagar Zone,,,MS71,12.96355,77.51001
Morgan Stanley,Rajarajeshwari park,,RR Nagar Zone,,,MS74,12.96285,77.51028
Morgan Stanley,Rajarajeshwari park,,RR Nagar Zone,,,MS72,12.96295,77.51016
Morgan Stanley,Rajarajeshwari park,,RR Nagar Zone,,,MS73,12.96276,77.51041
Morgan Stanley,Aryan school,,RR Nagar Zone,,,MS82,12.96125,77.50726
Morgan Stanley,Nela Maheshwari Park,,Dasarahalli Zone,,,MS147,13.04911,77.51082
Morgan Stanley,Nela Maheshwari Park,,Dasarahalli Zone,,,MS148,13.04907,77.51096
Morgan Stanley,Nela Maheshwari Park,,Dasarahalli Zone,,,MS149,13.04888,77.51083
Morgan Stanley,Nela Maheshwari Park,,Dasarahalli Zone,,,MS150,13.04928,77.51078
Morgan Stanley,Governement School T.Dasarahalli,,Dasarahalli Zone,,,MS197,13.04629,77.51888
Morgan Stanley,Governement School T.Dasarahalli,,Dasarahalli Zone,,,MS198,13.04636,77.51891
Morgan Stanley,Governement School T.Dasarahalli,,Dasarahalli Zone,,,MS199,13.04647,77.51892
Morgan Stanley,Governement School T.Dasarahalli,,Dasarahalli Zone,,,MS200,13.04645,77.51903
Morgan Stanley,Governement School T.Dasarahalli,,Dasarahalli Zone,,,MS201,13.04633,77.51921
Morgan Stanley,Governement School T.Dasarahalli,,Dasarahalli Zone,,,MS205,13.04527,77.51879
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS109,13.04092,77.51499
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS110,13.04094,77.51483
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS111,13.04094,77.51471
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS113,13.04092,77.51457
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS114,13.04085,77.51451
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS115,13.04074,77.51467
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS116,13.04066,77.51475
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS117,13.04069,77.51486
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS118,13.04081,77.51485
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS207,13.0408,77.51504
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS218,13.04074,77.51502
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS112,13.0409,77.51508
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS219,12.98011,77.51331
Morgan Stanley,Chokkasandra Park,,Dasarahalli Zone,,,MS220,13.04095,77.51469
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS134,13.07006,77.50912
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS135,13.07017,77.50917
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS136,13.0704,77.50918
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS139,13.07026,77.50894
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS140,13.07029,77.50898
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS142,13.07038,77.50905
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS143,13.07042,77.50912
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS144,13.07046,77.50912
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS145,13.07052,77.50909
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS146,13.07054,77.50908
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS147,13.07063,77.50902
Morgan Stanley,Geleyara Balaga - play ground,,Dasarahalli Zone,,,MS148,13.06994,77.50911
Morgan Stanley,HMT Children park,,Dasarahalli zone,,,MS120,13.03362,77.49985
Morgan Stanley,HMT Children park,,Dasarahalli zone,,,MS121,13.03367,77.49995
Morgan Stanley,HMT Children park,,Dasarahalli zone,,,MS122,13.03366,77.50005
Morgan Stanley,HMT Children park,,Dasarahalli zone,,,MS123,13.03352,77.4999
